Model,MSE,MAE,R2
SVR_RBF,1.467868417312303e-24,3.7621856256651964e-13,0.6859126796740911
RandomForest,1.7351495184753173e-24,4.296567808029267e-13,0.6287211740541508
Lasso,3.205445016705046e-24,9.292848815623863e-13,0.3141145187983685
LinearRegression,3.354197404729011e-24,9.592857295386615e-13,0.28228520876247676
